无理码编号	记录时间	字	原实际码	新增码	新增码候选布局	设计方式	状态
G8C12-U018	2026-09-05	邦	bhn / bhnp	bhw	邦	"补登记：P0004实战容错裁决按""丰""拆增加三码bhw并取得首选（原自然码bhn/bhnp保留）；当时漏登无理码表，0.8.6审计补录。"	已实装
G8C12-U017	2026-09-05	丢	dqw / dqwt	dqet	丢	实战裁决：丢主拆改为撇＋土＋厶（首根撇），新增全码dqet取得首选；群议千拆亦直观，原千拆三码dqw与全码dqwt保留作容错。	已实装
G8C12-U016	2026-08-31	呒	mmh / mmhg	wuhg	呒	实战容错裁决：按“呒”从“无”的字形直觉，把音码容错作wu并增加全码wuhg；该码位原为空码，呒取得首选；原读音m的自然三码mmh和全码mmhg保留。	已实装
G8C12-U015	2026-08-31	惠	hvn / hvnc	hvpc	惠、隳、䧥	实战容错裁决：将惠的首根由“一”直观容错为“十”，增加全码hvpc并取得首选；原自然三码hvn和全码hvnc保留。	已实装
G8C12-U013	2026-08-30	拜	bdi / bdiw	bdlw	败类、拜、拝	实战容错裁决：把左侧龵直观容错为手，只增加全码bdlw，不增加三码bdl；综合表中排在既有词“败类”之后、生僻字“拝”之前。	已实装
G8C12-U014	2026-08-30	掰	bdil	bdll	掰、白亮、不得了了	实战容错裁决：把左侧龵直观容错为手，增加全码bdll并取得首选；既有词“白亮、不得了了”整体后移。	已实装
G8C12-U012	2026-08-30	念	nmz / nmzc	nmg	念、内蒙古、农民工、那么高、糯米糕	实战容错裁决：将首根“今”直观容错为“人”，只增加三码nmg并取得首选；四个既有三简词整体后移至第2—5候选；不增加容错全码nmgr。	已实装
G8C12-U010	2026-08-30	披	pile	pie	披	实战手感裁决：新增三码pie并取得首选；貔撤去pie，仅保留piet；披保留自然全码pile。	已实装
G8C12-U011	2026-08-30	批	pil	pit	批	实战手感裁决：新增三码pit；坯撤去pit，仅保留pitn。pitn继续保持词优先；批保留pil和pilt。	已实装
G8C12-U001	2026-08-29 18:59 +10:00	骥	jica	jicp	骥、即	取马为首根、冀中部田为提示根，形成“马＋田”的结构联想；即已有三码jic，其全码jicp按出简让全排在骥之后。原码jica保留。	已实装
G8C12-U002	2026-08-29 18:59 +10:00	霁	jica	jice	霁	取雨为首根、齐下部两笔中的撇为提示根，避开原末笔竖；jice原为空码。原码jica保留。	已实装
G8C12-U003	2026-08-29 18:59 +10:00	迦	jxpp	jxph	迦、加	去掉走之旁，直接取内部“加”的全码jxph；加已有三码jxp，其保留全码按出简让全排在迦之后。原码jxpp保留。	已实装
G8C12-U004	2026-08-29 18:59 +10:00	涵	hjbw	hjow	涵、函	去掉三点水，直接取内部“函”的全码hjow；函已有三码hjo，其保留全码按出简让全排在涵之后。原码hjbw保留。	已实装
G8C12-U005	2026-08-29 19:16 +10:00	鳍	qiyq	qiyp	鳍	按完整拆分“鱼＋耂＋匕＋日”顺取前两根“鱼＋耂”；鱼在y键、耂在p键，得到空码qiyp。原码qiyq保留。	已实装
G8C12-U006	2026-08-29 19:45 +10:00	侮	wufp	wuff	侮	按完整拆分“亻＋卧人＋母”顺取前两根“亻＋卧人”；两根在G8C12中均落f键，得到空码wuff。原码wufp保留。	已裁决待下一次统一实装
G8C12-U007	2026-08-29 21:00 +10:00	箭	jmrs	jmra	箭	按完整拆分“竹头＋丷＋一＋青字底＋刂”顺取前两根“竹＋八”，得到空码jmra；D中也无同码词。原码jmrs保留。	已裁决待下一次统一实装
G8C12-U008	2026-08-29 21:15 +10:00	伽	jxfh	jxfp	伽	按完整拆分“亻＋力＋口”顺取前两根“亻＋力”，得到空码jxfp；D中也无同码词。原自然码jxfh保留。	已裁决待下一次统一实装
