行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
2	的	1682530	de5/di2/di4	de	de5 | di1 | di2 | di4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
3	我	1682285	wo3	wo	wo3			wo	整词词典与原始音节一致	
4	你	1329424	ni3	ni	ni3			ni	整词词典与原始音节一致	
5	是	947807	shi4	shi	shi4			shi	整词词典与原始音节一致	
6	了	946365	le5/liao3/liao4	liao	le5 | liao3			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
7	不	689161	bu2/bu4	bu	bu4			bu	整词词典与原始音节一致	
8	在	429766	zai4	zai	zai4			zai	整词词典与原始音节一致	
9	他	397653	ta1	ta	ta1			ta	整词词典与原始音节一致	
10	我们	371696	wo3 men5	women	wo3 men5	wo men	wo men	wo men	简单鹤与鲸凉鹤去飞键后一致	
11	好	334698	hao3/hao4	hao	hao3 | hao4			hao	整词词典与原始音节一致	
12	有	289109	you3/you4	you	you3			you	整词词典与原始音节一致	
13	这	286987	zhe4/zhei4	zhe	zhe4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
14	就	276636	jiu4	jiu	jiu4			jiu	整词词典与原始音节一致	
15	会	265929	hui4/kuai4	hui	hui4 | kuai4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
16	吗	249187	ma2/ma3/ma5	ma	ma2 | ma3 | ma5			ma	整词词典与原始音节一致	
17	要	238656	yao1/yao4	yao	yao1 | yao4			yao	整词词典与原始音节一致	
18	什么	236517	shen2 me5	shenme	shen2 me5	shen me	shen me	shen me	简单鹤与鲸凉鹤去飞键后一致	
19	说	226955	shui4/shuo1/yue4	shuo	shui4 | shuo1			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
20	她	221420	ta1	ta	ta1			ta	整词词典与原始音节一致	
21	想	212185	xiang3	xiang	xiang3			xiang	整词词典与原始音节一致	
22	一	203626	yi1	yi	yi1			yi	整词词典与原始音节一致	
23	很	200584	hen3	hen	hen3			hen	整词词典与原始音节一致	
24	知道	196745	zhi1 dao5	zhidao	zhi1 dao4	zhi dao	zhi dao	zhi dao	简单鹤与鲸凉鹤去飞键后一致	
25	人	194914	ren2	ren	ren2			ren	整词词典与原始音节一致	
26	吧	194084	ba1/ba5	ba	ba1 | ba5			ba	整词词典与原始音节一致	
27	那	190087	na1/na3/na4/nei4	na	na1 | na4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
28	来	185154	lai2	lai	lai2			lai	整词词典与原始音节一致	
29	都	177619	dou1/du1	du	dou1 | du1			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
30	个	173905	ge3/ge4	ge	ge3 | ge4			ge	整词词典与原始音节一致	
31	能	166656	neng2	neng	neng2			neng	整词词典与原始音节一致	
32	去	163054	qu4	qu	qu4			qu	整词词典与原始音节一致	
33	没	159508	mei2/mo4	mei	mei2 | mo4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
34	和	150418	he2/he4/hu2/huo2/huo4	he	he2 | he4 | hu2 | huo2 | huo4 | huo5			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
35	他们	140460	ta1 men5	tamen	ta1 men5	ta men	ta men	ta men	简单鹤与鲸凉鹤去飞键后一致	
36	到	139534	dao4	dao	dao4			dao	整词词典与原始音节一致	
37	对	132805	dui4	dui	dui4			dui	整词词典与原始音节一致	
38	也	131801	ye3	ye	ye3			ye	整词词典与原始音节一致	
39	啊	130963	a1/a2/a3/a4/a5	a	a1 | a2 | a3 | a4 | a5			a	整词词典与原始音节一致	
40	还	130326	hai2/huan2	huan	hai2 | huan2			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
41	把	124534	ba3/ba4	ba	ba3 | ba4			ba	整词词典与原始音节一致	
42	让	123809	rang4	rang	rang4			rang	整词词典与原始音节一致	
43	做	122364	zuo4	zuo	zuo4			zuo	整词词典与原始音节一致	
44	给	117218	gei3/ji3	gei	gei3 | ji3			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
45	一个	116726	yi1 ge4	yige	yi1 ge4	yi ge	yi ge	yi ge	简单鹤与鲸凉鹤去飞键后一致	
46	上	114371	shang3/shang4	shang	shang3 | shang4			shang	整词词典与原始音节一致	
47	你们	112946	ni3 men5	nimen	ni3 men5	ni men	ni men	ni men	简单鹤与鲸凉鹤去飞键后一致	
48	过	112388	guo1/guo4	guo	guo1 | guo4			guo	整词词典与原始音节一致	
49	没有	108237	mei2 you3	mei2you3/you4	mei2 you3	mei you	mei you	mei you	简单鹤与鲸凉鹤去飞键后一致	辅助拼音不可唯一核验
50	得	105189	de2/de5/dei3	de	de2 | de5 | dei3			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
51	看	102546	kan1/kan4	kan	kan1 | kan4			kan	整词词典与原始音节一致	
52	真	102445	zhen1	zhen	zhen1			zhen	整词词典与原始音节一致	
53	着	100091	zhao1/zhao2/zhe5/zhuo2	zhuo	zhao1 | zhao2 | zhe5 | zhuo2			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
54	事	97715	shi4	shi	shi4			shi	整词词典与原始音节一致	
55	这个	92058	zhe4 ge5	zhege	zhe4 ge4	zhe ge	zhe ge	zhe ge	简单鹤与鲸凉鹤去飞键后一致	
56	怎么	89166	zen3 me5	zenme	zen3 me5	zen me	zen me	zen me	简单鹤与鲸凉鹤去飞键后一致	
57	现在	88120	xian4 zai4	xianzai	xian4 zai4	xian zai	xian zai	xian zai	简单鹤与鲸凉鹤去飞键后一致	
58	可以	79198	ke3 yi3	keyi	ke3 yi3	ke yi	ke yi	ke yi	简单鹤与鲸凉鹤去飞键后一致	
59	点	77665	dian3	dian	dian3			dian	整词词典与原始音节一致	
60	呢	76752	na4/ne4/ne5/ni2	ne	ne5 | ni2			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
61	如果	76417	ru2 guo3	ruguo	ru2 guo3	ru guo	ru guo	ru guo	简单鹤与鲸凉鹤去飞键后一致	
62	只	72698	zhi1/zhi3	zhi	zhi1 | zhi3			zhi	整词词典与原始音节一致	
63	别	69865	bie2/bie4	bie	bie2 | bie4			bie	整词词典与原始音节一致	
64	哦	69380	e2/o2/o4/wo2/wo4	o	e2 | o2 | o4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
65	但	68241	dan4	dan	dan4			dan	整词词典与原始音节一致	
66	被	65695	bei4	bei	bei4			bei	整词词典与原始音节一致	
67	走	65258	zou3	zou	zou3			zou	整词词典与原始音节一致	
68	太	65151	tai4	tai	tai4			tai	整词词典与原始音节一致	
69	这样	64295	zhe4 yang4	zheyang	zhe4 yang4	zhe yang	zhe yang	zhe yang	简单鹤与鲸凉鹤去飞键后一致	
70	里	63276	li3	li	li3			li	整词词典与原始音节一致	
71	跟	62979	gen1	gen	gen1			gen	整词词典与原始音节一致	
72	告诉	61222	gao4 su5	gaosu	gao4 su4	gao su	gao su	gao su	简单鹤与鲸凉鹤去飞键后一致	
73	因为	59823	yin1 wei4	yinwei	yin1 wei4	yin wei	yin wei	yin wei	简单鹤与鲸凉鹤去飞键后一致	
74	自己	57978	zi4 ji3	ziji	zi4 ji3	zi ji	zi ji	zi ji	简单鹤与鲸凉鹤去飞键后一致	
75	再	56520	zai4	zai	zai4			zai	整词词典与原始音节一致	
76	听	54888	ting1	ting	ting1			ting	整词词典与原始音节一致	
77	这里	53900	zhe4 li3	zheli	zhe4 li3	zhe li	zhe li	zhe li	简单鹤与鲸凉鹤去飞键后一致	
78	快	53510	kuai4	kuai	kuai4			kuai	整词词典与原始音节一致	
79	谁	52782	shei2/shui2	shui	shei2 | shui2			待分配	孤立多音字无语境；待分配	
80	但是	52718	dan4 shi4	danshi	dan4 shi4	dan shi	dan shi	dan shi	简单鹤与鲸凉鹤去飞键后一致	
81	多	52605	duo1	duo	duo1			duo	整词词典与原始音节一致	
82	用	52436	yong4	yong	yong4			yong	整词词典与原始音节一致	
83	时候	52176	shi2 hou5	shihou	shi2 hou4	shi hou	shi hou	shi hou	简单鹤与鲸凉鹤去飞键后一致	
84	下	51975	xia4	xia	xia4			xia	整词词典与原始音节一致	
85	已经	51772	yi3 jing1	yijing	yi3 jing1	yi jing	yi jing	yi jing	简单鹤与鲸凉鹤去飞键后一致	
86	谢谢	51457	xie4 xie5	xiexie	xie4 xie4	xie xie	xie xie	xie xie	简单鹤与鲸凉鹤去飞键后一致	
87	为什么	51063	wei4 shen2 me5	weishime	wei4 shen2 me5			wei shen me	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
88	觉得	51047	jue2 de5	juede	jue2 de5	jue de	jue de	jue de	简单鹤与鲸凉鹤去飞键后一致	
89	天	50660	tian1	tian	tian1			tian	整词词典与原始音节一致	
90	像	50229	xiang4	xiang	xiang4			xiang	整词词典与原始音节一致	
91	这么	49082	zhe4 me5	zheme	zhe4 me5	zhe me	zhe me	zhe me	简单鹤与鲸凉鹤去飞键后一致	
92	它	49024	ta1	ta	ta1			ta	整词词典与原始音节一致	
93	从	47313	cong1/cong2	cong	cong2			cong	整词词典与原始音节一致	
94	先生	46864	xian1 sheng5	xiansheng	xian1 sheng1	xian sheng	xian sheng	xian sheng	简单鹤与鲸凉鹤去飞键后一致	
95	找	46647	zhao3	zhao	zhao3			zhao	整词词典与原始音节一致	
96	最	46464	zui4	zui	zui4			zui	整词词典与原始音节一致	
97	喜欢	46146	xi3 huan5	xihuan	xi3 huan1	xi huan	xi huan	xi huan	简单鹤与鲸凉鹤去飞键后一致	
98	可	46123	ke3/ke4	ke	ke3 | ke4			ke	整词词典与原始音节一致	
99	为	45565	wei2/wei4	wei	wei2 | wei4			wei	整词词典与原始音节一致	
100	大	45061	da4/dai4	da	da4 | dai4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
101	可能	44424	ke3 neng2	keneng	ke3 neng2	ke neng	ke neng	ke neng	简单鹤与鲸凉鹤去飞键后一致	
102	需要	44362	xu1 yao4	xuyao	xu1 yao4	xu yao	xu yao	xu yao	简单鹤与鲸凉鹤去飞键后一致	
103	是的	44210	shi4 de5	shide	shi4 de5	shi de		shi de	单份鹤参考与其他证据一致	
104	死	44056	si3	si	si3			si	整词词典与原始音节一致	
105	次	43873	ci4	ci	ci4			ci	整词词典与原始音节一致	
106	出	42784	chu1	chu	chu1			chu	整词词典与原始音节一致	
107	那么	41794	na4 me5	name	na4 me5	na me	na me	na me	简单鹤与鲸凉鹤去飞键后一致	
108	干	41651	gan1/gan4	gan	gan1 | gan4			gan	整词词典与原始音节一致	
109	那个	41417	nei4 ge4	nage	na4 ge4	na ge	na ge	na ge	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与原始拼音矛盾；两鹤一致但原始拼音不同
110	嘿	41175	hai1/hei1/mo4	hei	hei1			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
111	们	39958	men5	men	men2 | men5			men	整词词典与原始音节一致	
112	话	39900	hua4	hua	hua4			hua	整词词典与原始音节一致	
113	而	39381	er2	er	er2			er	整词词典与原始音节一致	
114	么	39120	ma5/me5	me	me5			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
115	东西	38127	dong1 xi5	dongxi	dong1 xi1	dong xi	dong xi	dong xi	简单鹤与鲸凉鹤去飞键后一致	
116	应该	37811	ying1 gai1	yinggai	ying1 gai1	ying gai	ying gai	ying gai	简单鹤与鲸凉鹤去飞键后一致	
117	孩子	37243	hai2 zi5	haizi	hai2 zi3	hai zi	hai zi	hai zi	简单鹤与鲸凉鹤去飞键后一致	
118	起来	37205	qi3 lai5	qilai	qi3 lai2	qi lai	qi lai	qi lai	简单鹤与鲸凉鹤去飞键后一致	
119	所以	37014	suo3 yi3	suoyi	suo3 yi3	suo yi	suo yi	suo yi	简单鹤与鲸凉鹤去飞键后一致	
120	这些	36735	zhe4 xie1	zhexie	zhe4 xie1	zhe xie	zhe xie	zhe xie	简单鹤与鲸凉鹤去飞键后一致	
121	才	36716	cai2	cai	cai2			cai	整词词典与原始音节一致	
122	两	36580	liang3	liang	liang3			liang	整词词典与原始音节一致	
123	错	36166	cuo4	cuo	cuo4			cuo	整词词典与原始音节一致	
124	还有	35932	hai2 you3	huanyou	hai2 you3	hai you	hai you	hai you	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
125	又	35561	you4	you	you4			you	整词词典与原始音节一致	
126	小	34967	xiao3	xiao	xiao3			xiao	整词词典与原始音节一致	
127	中	34862	zhong1/zhong4	zhong	zhong1 | zhong4			zhong	整词词典与原始音节一致	
128	叫	34648	jiao4	jiao	jiao4			jiao	整词词典与原始音节一致	
129	嗯	34639	n2/n3/n4/ng2/ng3/ng4	en	ng2 | ng3 | ng4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
130	该	34169	gai1	gai	gai1			gai	整词词典与原始音节一致	
131	等	34016	deng3	deng	deng3			deng	整词词典与原始音节一致	
132	问题	33364	wen4 ti2	wenti	wen4 ti2	wen ti	wen ti	wen ti	简单鹤与鲸凉鹤去飞键后一致	
133	一起	32889	yi1 qi3	yiqi	yi1 qi3	yi qi	yi qi	yi qi	简单鹤与鲸凉鹤去飞键后一致	
134	拿	32361	na2	na	na2			na	整词词典与原始音节一致	
135	更	32253	geng1/geng4	geng	geng1 | geng4			geng	整词词典与原始音节一致	
