code	has_two	has_four	two_count	four_count	two_top_rank	four_top_rank	two_words	four_words
womf	1	0	1	0	1		我们	
uime	1	0	2	0	2		什么 是么	
yige	1	0	2	0	3		一个 一哥	
mwyz	1	0	2	0	4		没有 煤油	
vidc	1	1	7	1	5	8366	知道 直到 指导 执导 制导 直道 之道	铸成大错
keyi	1	0	4	0	6		可以 刻意 可疑 可意	
ziji	1	0	3	0	7		自己 字迹 子集	
vege	1	0	2	0	8		这个 这歌	
tamf	1	0	3	0	9		他们 她们 它们	
xmzd	1	0	2	0	10		现在 陷在	
zfme	1	0	1	0	11		怎么	
nimf	1	0	1	0	12		你们	
veyh	1	0	2	0	13		这样 遮阳	
xihr	1	0	2	0	14		喜欢 西环	
uihz	1	0	3	0	15		时候 事后 侍候	
haha	1	0	1	0	16		哈哈	
ybww	1	0	2	0	17		因为 淫威	
veme	1	0	1	0	18		这么	
yijk	1	0	4	0	19		已经 意境 易经 一经	
jtde	1	0	1	0	20		觉得	
qild	1	1	1	1	21	6662	起来	穷愁潦倒
wfti	1	0	2	0	22		问题 文体	
gszo	1	0	1	0	23		工作	
hdui	1	0	3	0	24		还是 海事 海狮	
djui	1	0	2	0	25		但是 胆识	
name	1	0	1	0	26		那么	
nage	1	0	2	0	27		那个 哪个	
rugo	1	0	1	0	28		如果	
jbtm	1	1	1	1	29	2355	今天	金榜题名
yiyh	1	1	3	1	30	4267	一样 异样 益阳	一唱一和
xpxp	1	0	2	0	31		谢谢 歇歇	
keng	1	0	1	0	32		可能	
yiqi	1	0	8	0	33		一起 仪器 一齐 遗弃 义气 一气 意气 以期	
hdyz	1	0	1	0	34		还有	
uijm	1	0	6	0	35		时间 事件 实践 世间 始建 尸检	
iuld	1	0	2	0	36		出来 初来	
kjdc	1	0	2	0	37		看到 砍刀	
ykgd	1	0	1	0	38		应该	
dsxi	1	1	2	1	39	13185	东西 洞悉	大肆宣传
hvld	1	0	2	0	40		回来 惠来	
gcsu	1	0	2	0	41		告诉 高速	
yixx	1	0	3	0	42		一下 以下 意下	
soyi	1	0	2	0	43		所以 蓑衣	
gjjt	1	1	1	1	44	13078	感觉	广角镜头
veli	1	0	4	0	45		这里 哲理 着力 啫喱	
xuyc	1	0	2	0	46		需要 须要	
kdui	1	0	3	0	47		开始 开市 开释	
yivi	1	0	18	0	48		一直 一致 意志 抑制 已知 移植 以致 医治 遗址 以至 一只 一支 一枝 遗志 益智 意旨 抑止 译制	
buyc	1	1	2	1	49	2792	不要 补药	不善言辞
bugo	1	0	2	0	50		不过 补过	
hdzi	1	1	2	1	51	15312	孩子 海子	红刀子出
vexp	1	0	1	0	52		这些	
rjhz	1	0	1	0	53		然后	
yidk	1	0	3	0	54		一定 议定 一顶	
vevs	1	0	4	0	55		这种 着重 折中 折衷	
pgyz	1	0	1	0	56		朋友	
uide	1	0	3	0	57		是的 使得 师德	
xiwh	1	0	1	0	58		希望	
keui	1	0	4	0	59		可是 科室 课时 课室	
diyi	1	0	2	0	60		第一 敌意	
difh	1	0	3	0	61		地方 敌方 堤防	
ugho	1	0	3	0	62		生活 生火 圣火	
kkle	1	0	2	0	63		快乐 快了	
bixu	1	0	2	0	64		必须 必需	
jqui	1	0	7	0	65		就是 九十 旧事 旧时 旧式 九时 就事	
faxm	1	0	2	0	66		发现 法线	
yidm	1	0	4	0	67		一点 疑点 椅垫 伊甸	
uiqk	1	0	3	0	68		事情 实情 世情	
vsyc	1	0	2	0	69		重要 中药	
naxp	1	0	2	0	70		那些 哪些	
