组	码位	建议审议词	当前位置	候选总数	核心字数	扩展字数	词数	现首选	目标已有简码	首选已有简码	前移会越过	全部核心字	全部扩展字	完整当前顺序	模拟升首选顺序
A	yiqi	一起	5	11	0	3	8	仪器	yq	无	仪器、遗弃、义气、一齐	无	䝯、貤、暆	仪器 → 遗弃 → 义气 → 一齐 → 一起 → 一气 → 意气 → 以期 → 䝯 → 貤 → 暆	一起 → 仪器 → 遗弃 → 义气 → 一齐 → 一气 → 意气 → 以期 → 䝯 → 貤 → 暆
A	yivi	一直	7	18	0	0	18	意志	yv	无	意志、抑制、已知、一致、一支、一枝	无	无	意志 → 抑制 → 已知 → 一致 → 一支 → 一枝 → 一直 → 移植 → 以致 → 医治 → 遗址 → 以至 → 一只 → 遗志 → 益智 → 意旨 → 抑止 → 译制	一直 → 意志 → 抑制 → 已知 → 一致 → 一支 → 一枝 → 移植 → 以致 → 医治 → 遗址 → 以至 → 一只 → 遗志 → 益智 → 意旨 → 抑止 → 译制
A	yidm	一点	4	4	0	0	4	疑点	yd	无	疑点、椅垫、伊甸	无	无	疑点 → 椅垫 → 伊甸 → 一点	一点 → 疑点 → 椅垫 → 伊甸
A	yimm	一面	3	4	0	1	3	以免	无	无	以免、意面	无	蛡	以免 → 意面 → 一面 → 蛡	一面 → 以免 → 意面 → 蛡
A	yike	一刻	5	6	0	0	6	亦可	无	无	亦可、医科、一颗、一棵	无	无	亦可 → 医科 → 一颗 → 一棵 → 一刻 → 一课	一刻 → 亦可 → 医科 → 一颗 → 一棵 → 一课
A	yijx	一家	3	6	0	0	6	溢价	无	无	溢价、衣架	无	无	溢价 → 衣架 → 一家 → 一架 → 议价 → 意甲	一家 → 溢价 → 衣架 → 一架 → 议价 → 意甲
A	yigs	一共	3	3	0	0	3	以供	yg	无	以供、义工	无	无	以供 → 义工 → 一共	一共 → 以供 → 义工
A	yixm	一线	3	5	0	1	4	胰腺	无	无	胰腺、医仙	无	蘙	胰腺 → 医仙 → 一线 → 易县 → 蘙	一线 → 胰腺 → 医仙 → 易县 → 蘙
A	yigr	一贯	3	5	0	1	4	衣冠	无	无	衣冠、医馆	无	釴	衣冠 → 医馆 → 一贯 → 一罐 → 釴	一贯 → 衣冠 → 医馆 → 一罐 → 釴
A	yiri	一日	2	3	0	1	2	翌日	无	无	翌日	无	箷	翌日 → 一日 → 箷	一日 → 翌日 → 箷
