aaaa=1,啊啊啊啊
aaae=1,啊！”
aaba=1,阿爸
aabc=1,阿宝
aabk=1,阿炳
aabo=1,阿伯
aabq=1,傲岸不群
aabx=1,皑皑白雪
aadb=1,嗷嗷待哺
aadd=1,安安定定
aadi=1,阿迪
aadp=1,阿爹
aadt=1,暗暗点头
aadz=1,阿斗
aaff=1,安安分分
aafm=1,哀哀父母
aafu=1,阿福
aage=1,阿哥
aags=1,阿公
aagx=1,暗暗高兴
aaha=1,啊哈
aahs=1,阿訇
aaij=1,暗暗吃惊
aaiq=1,暗暗称奇
aajb=1,阿金
aajj=1,安安静静
aajn=1,阿娇
aajp=1,阿姐
aala=1,阿拉
aali=1,阿里
aali=2,阿狸
aama=1,阿妈
aamf=1,阿门
aamg=1,阿蒙
aamj=1,阿曼
aamw=1,阿妹
aano=1,阿诺
aaoo=1,啊哦
aapf=1,暗暗佩服
aapm=1,阿片
aapo=1,阿婆
aapp=1,矮矮胖胖
aaqd=1,暗暗祈祷
aaql=1,阿强
aaqq=1,安安全全
aaqx=1,暗暗庆幸
aasc=1,阿嫂
aasc=2,暗暗思忖
aase=1,啊……”
aase=2,阿瑟
aasj=1,阿三
aati=1,阿嚏
aatt=2,凹凹凸凸
aauf=1,阿婶
aauk=1,阿衰
aauu=1,矮矮实实
aavu=1,阿朱
aawe=1,啊？”
aaww=1,阿伟
aaww=2,安安稳稳
aaxx=1,安安心心
aaya=1,啊呀
aayi=1,阿姨
aayj=1,哀哀欲绝
aayo=1,啊哟
aayy=1,安安逸逸
aaza=1,腌臜
aazi=1,阿紫
abab=1,阿巴阿巴
abaq=1,安不安全
abbb=1,哀兵必败
abbd=1,按兵不动
abbu=1,哀兵必胜
abcu=1,安保措施
abdg=1,安邦定国
abdi=1,安步当车
abdl=1,熬不动了
abdy=1,阿鼻地狱
abgq=1,熬不过去
abhm=1,奥本海默
abhs=1,艾宾浩斯
abhx=1,艾宾浩斯记忆曲线
abit=1,熬不出头
abjb=1,按部就班
abjs=1,也不仅是
abjs=2,安倍晋三
ablm=1,鞍不离马
ably=1,阿波罗登月
abru=1,爱不忍释
abrz=1,爱兵如子
abuu=1,爱不释手
abvb=1,挨不着边
abvg=1,安邦治国
abww=1,安不忘危
abxh=1,敖包相会
acrk=1,爱才若渴
acrm=1,爱财如命
acuj=1,暗藏杀机
acxj=1,暗藏玄机
adbl=1,爱答不理
adds=1,阿迪达斯
adgy=1,爱的供养
adhe=1,艾迪霍尔
adhx=1,安定和谐
adic=1,暗渡陈仓
adic=2,暗度陈仓
adlj=1,按道理讲
adlt=1,熬到了头
adlu=1,按道理说
adlx=1,案牍劳形
adly=1,澳大利亚
adna=1,安东尼奥
adrx=1,安定人心
adsu=1,安第斯山
adtj=1,安定团结
adue=1,挨冻受饿
adum=1,挨打受骂
aduu=1,爱的实验室
aduz=1,奥迪双钻
advl=1,案牍之劳
adwg=1,黯淡无光
adwg=2,暗淡无光
adwn=1,安度晚年
adys=1,爱得要死
adyx=1,安定有序
aebs=1,阿尔卑斯
aebt=1,阿尔伯特
aebu=1,哀而不伤
aeby=1,阿尔巴尼亚
aecb=1,阿尔茨海默病
aedh=1,艾尔登法环
aeds=1,阿尔都塞
aefg=1,阿尔法狗
aeje=1,阿尔及尔
aeju=1,阿尔金山
aejy=1,阿尔及利亚
aekt=1,阿尔卡特
aeld=1,爱尔兰岛
aeud=1,挨饿受冻
aewx=1,爱尔维修
afdd=1,案发地点
afdt=1,案发当天
afet=1,埃菲尔铁塔
afgf=1,阿房宫赋
afjl=1,阿伏加德罗
afju=1,阿伏加德罗常数
aflj=1,阿非利加
afrx=1,安抚人心
aftm=1,安非他命
aftm=2,安非他明
afuj=1,安分守己
afuj=2,安份守己
afvy=1,按方抓药
afvz=1,安分知足
afxi=1,案发现场
afzr=1,安富尊荣
agam=1,阿哥阿妹
agjl=1,爱国将领
agjp=1,挨个击破
agju=1,爱国精神
agju=2,爱国敬业诚信友善
agjy=1,爱岗敬业
agjy=2,爱国教育
agjy=3,爱国基因
agll=1,爱国力量
agqb=1,爱国侨胞
agqn=1,爱国青年
agrq=1,爱国热情
agru=1,爱国人士
agru=2,爱狗人士
agsd=1,奥古斯都
agsd=2,奥古斯丁
agtb=1,爱国同胞
agtx=1,爱国统一战线
aguf=1,爱国守法
agur=1,爱国诗人
agvi=1,阿甘正传
agvu=1,爱国志士
agvu=2,爱国主义精神
agvx=1,爱国之心
agvx=2,爱国阵线
agvy=1,爱国主义
agwu=1,爱国卫生
agxu=1,爱管闲事
agyd=1,爱国运动
agyx=1,爱国营销
ahah=1,昂昂
ahah=2,啊哈啊哈
ahbd=1,哀鸿遍地
ahby=2,哀鸿遍野
ahby=3,懊悔不已
ahdp=1,安魂定魄
ahdw=1,爱护动物
ahgf=1,爱好广泛
ahgv=1,昂贵
ahgw=1,爱护公物
ahhp=1,爱好和平
ahjj=1,爱恨交加
ahjv=1,爱恨交织
ahli=1,昂立
ahmu=1,暗黑模式
ahqi=1,昂起
ahqi=2,爱恨情仇
ahqy=1,爱恨情缘
ahri=1,安好如初
ahrj=1,盎然
ahsi=1,盎司
ahtz=1,昂头
ahuz=1,昂首
ahve=1,昂着
ahvw=1,爱护植物
ahyh=1,昂扬
ahzh=1,肮脏
aiai=1,爱爱
aibi=1,爱吃不吃
aibm=1,癌变
aicc=1,艾草
aicd=1,爱才
aicd=2,爱财
aico=1,爱错
aida=1,挨打
aidc=1,哀悼
aidd=1,爱戴
aide=1,爱得
aidg=1,矮凳
aidh=1,爱党
aidn=1,哀吊
aids=1,挨冻
aidy=1,矮墩
aidz=1,爱豆
aidz=2,挨斗
aiee=1,挨饿
aier=1,艾尔
aifa=1,挨罚
aift=1,爱出风头
aifu=1,爱抚
aifw=1,爱妃
aigc=1,哀告
aigd=1,熬肠刮肚
aige=1,挨个
aige=2,哀歌
aigh=1,爱岗
aigo=1,爱国
aigo=2,爱过
aigv=1,矮柜
aigw=1,爱给
aigz=1,爱狗
aihc=1,爱好
aihc=2,哀嚎
aihe=1,爱河
aihe=2,爱喝
aihf=1,爱恨
aihl=1,AI换脸
aiho=1,爱火
aihs=1,哀鸿
aihu=1,爱护
aihx=1,爱花
aihx=3,爱华
aihy=1,瑷珲
aiic=1,爱巢
aiie=1,爱车
aiig=1,爱称
aiii=1,爱吃
aiir=1,爱穿
aiis=1,爱宠
aiiz=1,哀愁
aijb=1,挨近
aijb=2,哀矜
aiji=1,埃及
aiji=2,爱机
aijl=1,爱将
aijm=1,挨肩
aijn=1,哀叫
aijp=1,娭毑
aijq=1,艾灸
aijx=1,哀家
aijx=2,爱家
aikj=1,爱看
aiku=1,爱哭
aiku=2,哀苦
aikz=1,隘口
aile=1,爱了
aile=2,挨了
aile=3,矮了
ailm=1,爱恋
ailm=2,爱怜
ailn=1,爱聊
ailq=1,癌瘤
ailu=1,爱吃零食
ailv=1,爱侣
aily=1,艾伦
aima=1,挨骂
aima=2,艾玛
aimb=1,爱民
aimc=1,爱猫
aime=1,爱么
aimf=1,挨门
aimi=1,艾米
aimk=1,哀鸣
aimo=1,癌魔
aimu=1,爱慕
aimw=1,暧昧
aimw=2,爱美
