行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
49	没有	108237	mei2 you3	mei2you3/you4	mei2 you3	mei you	mei you	mei you	简单鹤与鲸凉鹤去飞键后一致	辅助拼音不可唯一核验
87	为什么	51063	wei4 shen2 me5	weishime	wei4 shen2 me5			wei shen me	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
109	那个	41417	nei4 ge4	nage	na4 ge4	na ge	na ge	na ge	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与原始拼音矛盾；两鹤一致但原始拼音不同
124	还有	35932	hai2 you3	huanyou	hai2 you3	hai you	hai you	hai you	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
207	还是	19998	hai2 shi4	huanshi	hai2 shi4	hai shi	hai shi	hai shi	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
221	为了	18274	wei4 le5	weiliao	wei4 le5	wei le	wei le	wei le	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
318	得到	11188	de2 dao4	dedao	dei3 dao4	de dao	de dao	de dao	简单鹤与鲸凉鹤去飞键后一致	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两鹤一致但Chai不同
372	没什么	9452	mei2 shen2 me5	meishime	mei2 shen2 me5			mei shen me	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
576	极了	5771	ji2 le5	jiliao		ji le	ji le	ji le	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾
627	除了	5147	chu2 le5	chuliao	chu2 le5	chu le	chu le	chu le	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
678	音乐	4776	yin1 yue4	yinle	yin1 yue4	yin yue	yin yue	yin yue	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
700	还要	4524	hai2/huan2 yao1/yao4	huanyao	hai2 yao4	hai yao	hai yao	hai yao	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
780	睡觉	3999	shui4 jiao4	shuijue	shui4 jiao4	shui jiao | shui jue	shui jiao | shui jue	shui jiao	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
893	干什么	3492	gan4 shen2 me5	ganshime	gan4 shen2 me5			gan shen me	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
968	提供	3143	ti2 gong1	di1/ti2gong1	ti2 gong1	ti gong	ti gong	ti gong	简单鹤与鲸凉鹤去飞键后一致	辅助拼音不可唯一核验
1004	银行	3003	yin2 hang2	yinxing	yin2 hang2	yin hang	yin hang	yin hang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1015	什么样	2953	shen2 me5 yang4	shimeyang	shen2 me5 yang4			shen me yang	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1033	意味着	2913	yi4 wei4 zhe5	yiweizhuo	yi4 wei4 zhe5			yi wei zhe	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1330	接着	2149	jie1 zhe5	jiezhuo	jie1 zhe5	jie zhe	jie zhe	jie zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1343	乐队	2126	yue4 dui4	ledui	yue4 dui4	yue dui	yue dui	yue dui	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1505	似的	1827	si4 de5	side	shi4 de5	shi de | si de	shi de | si de	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
1532	长大	1797	zhang3 da4	changda	zhang3 da4	zhang da	zhang da	zhang da	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1724	说服	1552	shuo1 fu2	shuofu	shuo1 fu2	shui fu | shuo fu	shui fu | shuo fu	shuo fu	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
1737	规矩	1538	gui1 ju5	guishu	gui1 ju3	gui ju	gui ju	gui ju	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1894	罢了	1373	ba4 liao3	baliao	ba4 liao3	ba le	ba le	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
1908	被捕	1362	bei4 bu3	beibo	bei4 bu3	bei bu	bei bu	bei bu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
1971	警长	1309	jing3 chang2/zhang3	jingchang	jing3 zhang3	jing zhang	jing zhang	jing zhang	整词人工裁决	整词词典与辅助拼音矛盾
2537	校长	932	xiao4 zhang3	xiaochang	xiao4 zhang3	xiao zhang	xiao zhang	xiao zhang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
2828	什么的	812	shen2 me5 de5	shimede	shen2 me5 de5			shen me de	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
2833	牛仔	810	niu2 zai3	niuzi	niu2 zai3	niu zai	niu zai	niu zai	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
2835	香槟	810	xiang1 bin1	xiangbing	xiang1 bin1	xiang bin	xiang bin	xiang bin	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
