code	weight	word_count	top_rank	words
uiui	33.57346017438123	21	394	试试 事实 实施 实时 世事 实事 逝世 时时 适时 史诗 时事 失事 史实 事事 石狮 失实 时势 十时 誓师 诗史 失势
yivi	30.530392030070715	18	48	一直 一致 意志 抑制 已知 移植 以致 医治 遗址 以至 一只 一支 一枝 遗志 益智 意旨 抑止 译制
jiui	27.47779495655438	16	574	即使 及时 几十 集市 几时 急事 计时 即时 纪实 记事 基石 技师 纪事 机师 既是 疾驶
yiui	22.21079731794759	14	690	意识 仪式 一时 遗失 医师 衣食 议事 轶事 一世 伊始 义士 衣饰 医士 逸事
uiji	21.5718179643577	12	908	实际 世纪 十几 时机 事迹 诗集 市级 试剂 实绩 史记 市集 史迹
qiui	20.76605937022817	11	114	其实 歧视 七十 气势 骑士 启示 启事 起誓 起始 其时 奇事
uiyi	19.68458477544477	12	1877	十一 适宜 示意 失忆 诗意 事宜 十亿 失意 释义 是以 时宜 释疑
iuui	19.52309206418066	12	2761	出事 厨师 初始 初十 出示 出世 处事 出师 处世 初试 出使 初识
viui	19.315760153224698	11	71	只是 知识 指示 直视 指使 致使 芝士 制式 执事 知事 志士
uili	19.12154968752477	12	1269	实力 势力 市里 失利 失礼 视力 事例 事理 实例 势利 市立 示例
xmui	18.213569350044775	11	555	现实 显示 限时 先是 闲事 现世 现时 闲适 县市 闲时 咸湿
wuyi	18.090100034036595	11	2679	无意 无疑 五一 无益 无异 武艺 五亿 无以 巫医 武夷 武义
uiwu	17.91602988789357	9	1044	食物 事物 十五 失误 事务 实物 失物 饰物 实务
wuui	17.553548480833783	11	2237	五十 无视 巫师 武士 务实 无时 误事 舞狮 误食 午时 无事
yiqi	16.78774695891661	8	33	一起 仪器 一齐 遗弃 义气 一气 意气 以期
yzyu	16.65391239391351	10	741	由于 犹豫 忧郁 鱿鱼 优于 有余 囿于 游鱼 右玉 优裕
jxui	15.847987749422938	11	2183	驾驶 架势 家事 假释 家室 假使 家世 家史 加试 家什 架式
uiyj	15.723392487794385	9	1156	实验 试验 誓言 饰演 食言 十堰 食盐 试演 失言
yiyr	15.389500899723636	9	383	医院 意愿 一元 议员 一员 遗愿 议院 译员 沂源
xkui	15.347621444627189	8	1530	形式 形势 行驶 行事 行使 刑事 姓氏 幸事
jijm	15.32614957830367	12	15969	击剑 击键 几件 纪检 基建 极简 肌腱 机件 鸡奸 急件 己见 寄件
yiww	15.178350114025347	8	90	以为 意味 一味 依偎 一位 异味 移位 易位
yzyi	15.006844828048596	9	1103	友谊 有意 优异 有益 右翼 游艺 犹疑 游弋 游移
vidc	14.936508891170302	7	5	知道 直到 指导 执导 制导 直道 之道
yzui	14.775867447010128	8	592	有时 优势 有事 又是 有失 幼师 幼时 诱使
liui	14.703546660186962	10	387	历史 离世 历时 理事 力士 立时 立誓 里氏 砾石 离石
yjui	14.43012969423341	9	3229	掩饰 岩石 演示 严实 验尸 厌世 延时 偃师 厌食
gsui	14.316046031651211	9	4582	共识 公式 公事 共事 攻势 公示 工时 工事 公使
jpui	14.24860720354585	8	361	解释 结实 节食 届时 揭示 结识 街市 结石
yiji	14.234413993921555	8	448	以及 一级 遗迹 异己 一击 乙级 艺妓 依纪
qiyi	14.22993700756792	9	5874	奇异 歧义 起义 七一 其一 七亿 起疑 棋艺 奇艺
viyi	14.222007987027016	8	651	之一 质疑 执意 致以 致意 旨意 直译 志异
yixl	14.183115142064294	9	2079	一向 意向 臆想 异乡 一项 意象 遗像 衣箱 意想
wuli	14.105545047489272	7	2393	物理 无力 无理 屋里 武力 无礼 物力
xnui	14.104235022421845	7	151	小时 消失 消逝 小事 消食 小试 小视
uizi	13.97161728726616	8	2606	狮子 十字 识字 柿子 虱子 石子 师资 式子
jiyu	13.725260493175735	8	3544	基于 机遇 觊觎 急于 寄予 鲫鱼 寄语 际遇
uiih	13.654731709704	7	536	市场 时常 市长 师长 失常 时长 试唱
