啊啊啊啊	aaaa
啊！”	aaae
阿爸	aaba
阿宝	aabc
阿炳	aabk
阿伯	aabo
傲岸不群	aabq
皑皑白雪	aabx
嗷嗷待哺	aadb
安安定定	aadd
阿迪	aadi
阿爹	aadp
暗暗点头	aadt
阿斗	aadz
安安分分	aaff
哀哀父母	aafm
阿福	aafu
阿哥	aage
阿公	aags
暗暗高兴	aagx
啊哈	aaha
阿訇	aahs
暗暗吃惊	aaij
暗暗称奇	aaiq
阿金	aajb
安安静静	aajj
阿娇	aajn
阿姐	aajp
阿拉	aala
阿里	aali
阿狸	aali
阿妈	aama
阿门	aamf
阿蒙	aamg
阿曼	aamj
阿妹	aamw
阿诺	aano
啊哦	aaoo
暗暗佩服	aapf
阿片	aapm
阿婆	aapo
矮矮胖胖	aapp
暗暗祈祷	aaqd
阿强	aaql
安安全全	aaqq
暗暗庆幸	aaqx
阿嫂	aasc
暗暗思忖	aasc
啊……”	aase
阿瑟	aase
阿三	aasj
阿嚏	aati
凹凹凸凸	aatt
阿婶	aauf
阿衰	aauk
矮矮实实	aauu
阿朱	aavu
啊？”	aawe
阿伟	aaww
安安稳稳	aaww
安安心心	aaxx
啊呀	aaya
阿姨	aayi
哀哀欲绝	aayj
啊哟	aayo
安安逸逸	aayy
腌臜	aaza
阿紫	aazi
阿巴阿巴	abab
安不安全	abaq
哀兵必败	abbb
按兵不动	abbd
哀兵必胜	abbu
安保措施	abcu
安邦定国	abdg
安步当车	abdi
熬不动了	abdl
阿鼻地狱	abdy
熬不过去	abgq
奥本海默	abhm
艾宾浩斯	abhs
艾宾浩斯记忆曲线	abhx
熬不出头	abit
按部就班	abjb
也不仅是	abjs
安倍晋三	abjs
鞍不离马	ablm
阿波罗登月	ably
爱不忍释	abru
爱兵如子	abrz
爱不释手	abuu
挨不着边	abvb
安邦治国	abvg
安不忘危	abww
敖包相会	abxh
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
爱答不理	adbl
阿迪达斯	adds
爱的供养	adgy
艾迪霍尔	adhe
安定和谐	adhx
暗渡陈仓	adic
暗度陈仓	adic
按道理讲	adlj
熬到了头	adlt
按道理说	adlu
案牍劳形	adlx
澳大利亚	adly
安东尼奥	adna
安定人心	adrx
安第斯山	adsu
安定团结	adtj
挨冻受饿	adue
挨打受骂	adum
爱的实验室	aduu
奥迪双钻	aduz
案牍之劳	advl
黯淡无光	adwg
暗淡无光	adwg
安度晚年	adwn
爱得要死	adys
安定有序	adyx
阿尔卑斯	aebs
阿尔伯特	aebt
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔茨海默病	aecb
艾尔登法环	aedh
阿尔都塞	aeds
阿尔法狗	aefg
阿尔及尔	aeje
阿尔金山	aeju
阿尔及利亚	aejy
阿尔卡特	aekt
爱尔兰岛	aeld
挨饿受冻	aeud
爱尔维修	aewx
案发地点	afdd
案发当天	afdt
埃菲尔铁塔	afet
阿房宫赋	afgf
阿伏加德罗	afjl
阿伏加德罗常数	afju
阿非利加	aflj
安抚人心	afrx
安非他命	aftm
安非他明	aftm
安分守己	afuj
安份守己	afuj
按方抓药	afvy
安分知足	afvz
案发现场	afxi
安富尊荣	afzr
阿哥阿妹	agam
爱国将领	agjl
挨个击破	agjp
爱国精神	agju
爱国敬业诚信友善	agju
爱岗敬业	agjy
爱国教育	agjy
爱国基因	agjy
爱国力量	agll
爱国侨胞	agqb
爱国青年	agqn
爱国热情	agrq
爱国人士	agru
爱狗人士	agru
奥古斯都	agsd
奥古斯丁	agsd
爱国同胞	agtb
爱国统一战线	agtx
爱国守法	aguf
爱国诗人	agur
阿甘正传	agvi
爱国志士	agvu
爱国主义精神	agvu
爱国之心	agvx
爱国阵线	agvx
爱国主义	agvy
爱国卫生	agwu
爱管闲事	agxu
爱国运动	agyd
爱国营销	agyx
昂昂	ahah
