裁决编号	记录时间	涉及音节	调整前	调整后	理由	状态
G8C12-C011	2026-08-29 23:30 +10:00	en	en：恩；enh：嗯；enec：恩；enhc：嗯	en：嗯；ene：恩；enec：恩；enhc：嗯	日常语气字“嗯”的输入需求高于“恩”，由“嗯”取得en二简；“恩”按首根囗对应e退到自然三码ene并保留全码enec。“嗯”取得二简后依出简让全规则撤去enh，保留自然全码enhc。	已实装
G8C12-C010	2026-08-29 23:00 +10:00	en/ng	ngh：嗯；nghc：嗯	ngh：嗯；nghc：嗯；enh：嗯；enhc：嗯	日常输入中“嗯”通常按en读音输入，而不是ng。保留原ng身份兼容旧打法，新增en身份；按正式首末根“口＋忄”在G8C12上的hc形码，得到自然三码enh与保留全码enhc。en二码仍由“恩”持有。	已实装
G8C12-C001	2026-08-29 18:38 +10:00	shu	uuo：树；uuoy：树；uuoa：术、疏、梳、书	uuo：术；uuoy：树；uuoa：疏、梳、术、书	体感上术的单打需求高于树；树回到自身全码uuoy。术取得三码后按出简让全退出uuoa首选竞争，uuoa由无短码的疏、梳在前，术、书作为保留全码追加。	已裁决待实装
G8C12-C002	2026-08-29 18:38 +10:00	yi	yif：亿；yifl：亿；yifn：依、仪	yif：依；yifl：亿；yifn：仪、依	亿退回其独占全码yifl，腾出的三码yif给依；依取得三码后按出简让全退出yifn首选竞争，仪成为yifn首选，依保留全码为次选。	已裁决待实装
G8C12-C003	2026-08-29 18:59 +10:00	yi	yic：怡；yich：怡；yicl：忆、驿、怿	yic：忆；yich：怡；yicl：驿、怿、忆	怡退回其独占全码yich，腾出的三码yic给忆；忆取得三码后按出简让全退出yicl首选竞争，驿成为首选，怿仍为实际全码候选，忆作为保留全码追加。	已裁决待实装
G8C12-C004	2026-08-29 19:16 +10:00	qi	qiyq：鳍、岐	qiyq：岐、鳍	鳍在“鱼鳍”等词组中可借鱼旁辅助码进一步锁定，岐缺少同样稳定的补救路径，因此不完全按裸字频排序，交换两字候选次序。	已裁决待实装
G8C12-C005	2026-08-29 19:16 +10:00	yu	yusa：於、瘀	yusa：瘀、於	於的表面频率疑似大量来自繁体语料中对应简体“于”的写法，不能直接代表简体yu音单字需求；按简体实际输入体感，瘀更适合作为首选。	已裁决待实装
G8C12-C006	2026-08-29 19:28 +10:00	jian	jm：间；jmw：戬；jmwr：戬；jmz：见；jmzz：见；jmzr：贱、践	jm：见；jmw：间；jmwq：间；jmwr：戬；jmz：贱；jmzz：见；jmzr：践、贱	见由三码jmz晋升二简jm；间由二简jm降为三码jmw并保留全码jmwq；戬退出jmw并退回独占全码jmwr；腾出的jmz给贱；贱取得三码后按出简让全退出jmzr首选竞争，jmzr由践首选、贱保留全码次选。见的xian读音身份不受影响。	已裁决待实装
G8C12-C007	2026-08-29 19:28 +10:00	qi	qiba：淇、泣	qiba：泣、淇	淇的表面频率可能受到人名、地名语料抬升；泣在简体实际语境中单字性和通用性更强，因此交换两字候选次序。	已裁决待实装
G8C12-C008	2026-08-29 19:28 +10:00	pi	pii：屁；piit：屁；piis：劈、辟	pii：劈；piis：辟、劈；piit：屁	屁退回其独占全码piit，腾出的三码pii给劈；劈取得三码后按出简让全退出piis首选竞争，辟成为piis首选，劈作为保留全码次选。	已裁决待实装
G8C12-C009	2026-08-29 21:18 +10:00	yuan	yrl：援；yrlq：援、眢；yrlc：怨	yrl：怨；yrlq：援、眢；yrlc：怨	“援”主要用于支援、援助、救援等稳定词，可由挂接词库恢复；“怨”具有怨灵、怨种等开放式组合需求。怨取得三码yrl，援退回yrlq并保持首选、眢次选；怨在原全码yrlc按出简让全保留。	已裁决待实装
