坚定不移	jdby
随时随地	susd
全力以赴	qlyf
丰富多彩	ffdc
余波未平	ybwp
脱颖而出	tyei
实事求是	uuqu
一如既往	yrjw
众所周知	vsvv
一年一度	ynyd
因地制宜	ydvy
千方百计	qfbj
息息相关	xxxg
层出不穷	cibq
引人注目	yrvm
当务之急	dwvj
滥用职权	lyvq
深入人心	urrx
解放思想	jfsx
见义勇为	jyyw
敲诈勒索	qvls
名不虚传	mbxi
来之不易	lvby
名副其实	mfqu
下落不明	xlbm
坚持不懈	jibx
源源不断	yybd
络绎不绝	lybj
弄虚作假	nxzj
不可思议	bksy
不正之风	bvvf
小心翼翼	xxyy
长治久安	ivja
如火如荼	rhrt
不折不扣	bvbk
后顾之忧	hgvy
纸醉金迷	vzjm
力所能及	lsnj
供不应求	gbyq
一目了然	ymlr
显而易见	xeyj
持之以恒	ivyh
成千上万	iquw
大街小巷	djxx
可想而知	kxev
安居乐业	ajly
齐心协力	qxxl
得天独厚	dtdh
一见钟情	yjvq
艰苦奋斗	jkfd
全心全意	qxqy
独一无二	dywe
不约而同	byet
紧锣密鼓	jlmg
五花八门	whbm
一应俱全	yyjq
应运而生	yyeu
与众不同	yvbt
触目惊心	imjx
屡见不鲜	ljbx
无独有偶	wdyo
行之有效	xvyx
不知不觉	bvbj
大势所趋	dusq
千家万户	qjwh
心有余悸	xyyj
不得而知	bdev
前所未有	qswy
迫不及待	pbjd
雪上加霜	xuju
迫在眉睫	pzmj
此起彼伏	cqbf
脚踏实地	jtud
意想不到	yxbd
错综复杂	czfz
无可厚非	wkhf
源远流长	yyli
举一反三	jyfs
循序渐进	xxjj
不遗余力	byyl
不言而喻	byey
讨价还价	tjhj
深恶痛绝	uwtj
三位一体	swyt
截然不同	jrbt
记忆犹新	jyyx
喜闻乐见	xwlj
家喻户晓	jyhx
日新月异	rxyy
取而代之	qedv
莫名其妙	mmqm
名列前茅	mlqm
排忧解难	pyjn
各式各样	gugy
玩忽职守	whvu
任重道远	rvdy
奋发有为	ffyw
举足轻重	jzqv
比比皆是	bbju
卓有成效	vyix
落地生根	ldug
势在必行	uzbx
史无前例	uwql
理所当然	lsdr
耳熟能详	eunx
由来已久	ylyj
一模一样	ymyy
厉行节约	lxjy
恶性循环	exxh
铤而走险	tezx
举世瞩目	juvm
再接再厉	zjzl
足不出户	zbih
翻天覆地	ftfd
非同寻常	ftxi
挨家挨户	ajah
不翼而飞	byef
参差不齐	ccbq
水涨船高	uvig
沸沸扬扬	ffyy
先发制人	xfvr
轩然大波	xrdb
出人意料	iryl
土生土长	tuti
统筹兼顾	tijg
明察暗访	miaf
刻不容缓	kbrh
融为一体	rwyt
焕然一新	hryx
以身作则	yuzz
潜移默化	qymh
风口浪尖	fklj
有条不紊	ytbw
归根结底	ggjd
发扬光大	fygd
旗帜鲜明	qvxm
万无一失	wwyu
可见一斑	kjyb
一视同仁	yutr
相辅相成	xfxi
耳目一新	emyx
淋漓尽致	lljv
不了了之	bllv
热火朝天	rhit
有目共睹	ymgd
久而久之	jejv
视而不见	uebj
自强不息	zqbx
以权谋私	yqms
继往开来	jwkl
赞不绝口	zbjk
义不容辞	ybrc
未雨绸缪	wyim
一举一动	yjyd
绳之以法	uvyf
尽如人意	jrry
有所作为	yszw
对症下药	dvxy
出谋划策	imhc
四面八方	smbf
首当其冲	udqi
马不停蹄	mbtt
不以为然	bywr
必由之路	byvl
所作所为	szsw
一蹴而就	ycej
人满为患	rmwh
身体力行	utlx
精益求精	jyqj
大吃一惊	diyj
竭尽全力	jjql
拭目以待	umyd
无家可归	wjkg
哭笑不得	kxbd
铺张浪费	pvlf
不知所措	bvsc
座无虚席	zwxx
可乘之机	kivj
琳琅满目	llmm
卷土重来	jtil
铺天盖地	ptgd
理直气壮	lvqv
面目全非	mmqf
忧心忡忡	yxii
燃眉之急	rmvj
在所难免	zsnm
图文并茂	twbm
不绝于耳	bjye
津津乐道	jjld
数以万计	uywj
立竿见影	lgjy
议论纷纷	ylff
与日俱增	yrjz
衣食住行	yuvx
精心设计	jxuj
急功近利	jgjl
鲜为人知	xwrv
博大精深	bdju
根深蒂固	gudg
大有可为	dykw
轰轰烈烈	hhll
惊心动魄	jxdp
不亦乐乎	bylh
何去何从	hqhc
独立自主	dlzv
率先垂范	uxif
相得益彰	xdyv
取信于民	qxym
耐人寻味	nrxw
别开生面	bkum
水泄不通	uxbt
接二连三	jels
无能为力	wnwl
难以为继	nywj
陷入僵局	xrjj
感同身受	gtuu
不知去向	bvqx
匪夷所思	fyss
