length	source	sentence	hanzi
1	百科	* 骡	骡
1	传媒	“啪	啪
1	对话	猫	猫
1	网文	“嗨	嗨
1	百科	葵	葵
1	传媒	“放	放
1	对话	吃	吃
1	网文	物	物
1	百科	* 弦	弦
1	传媒	哦	哦
1	对话	四	四
1	网文	斩	斩
1	百科	琅	琅
1	传媒	”“到	到
1	对话	...晕	晕
1	网文	春	春
1	百科	钹	钹
1	传媒	嚯	嚯
1	对话	忍	忍
1	网文	校	校
1	百科	定	定
1	传媒	“敢	敢
1	对话	蠢	蠢
1	网文	“看	看
1	百科	* キロロのほーら、泣きやんだ	泣
1	传媒	墨	墨
1	对话	欸	欸
1	网文	噢	噢
1	百科	* 是	是
1	传媒	“酷	酷
1	对话	白～	白
1	网文	梁	梁
1	百科	妻	妻
1	传媒	（图）	图
1	对话	酒	酒
1	网文	”“嘭	嘭
1	百科	东	东
1	传媒	赞	赞
1	对话	承	承
1	网文	象	象
1	百科	珪	珪
1	传媒	涨	涨
1	对话	嘛	嘛
1	网文	际	际
1	百科	自	自
1	传媒	“咚	咚
1	对话	偶	偶
1	网文	疾	疾
1	百科	吴	吴
1	传媒	成	成
1	对话	川	川
1	网文	值	值
1	百科	心のカケラ／ハートのかけら	心
1	传媒	”    “好	好
1	对话	找	找
1	网文	该	该
1	百科	茎	茎
1	传媒	专	专
1	对话	羡	羡
1	网文	少	少
1	百科	小	小
1	传媒	“会	会
1	对话	美	美
1	网文	求：	求
1	百科	楫	楫
1	传媒	嗬	嗬
1	对话	八	八
1	网文	裂	裂
1	百科	亨	亨
1	传媒	德	德
1	对话	角	角
1	网文	强	强
1	百科	永	永
1	传媒	瞧	瞧
1	对话	悬	悬
1	网文	二	二
1	百科	槚	槚
1	传媒	”飒	飒
1	对话	思	思
1	网文	呷	呷
1	百科	」（刘	刘
1	传媒	噢	噢
1	对话	李	李
1	网文	]址	址
1	百科	⑮姓	姓
1	传媒	“唰	唰
1	对话	猴	猴
1	网文	早	早
1	百科	元	元
1	传媒	“跳	跳
1	对话	值	值
1	网文	女	女
1	百科	* 「キミおっぱい见てたでしょ	见
1	传媒	”　　“香	香
1	对话	滴	滴
1	网文	来	来
1	百科	* 柔	柔
1	传媒	砰	砰
1	对话	住	住
1	网文	———嗷	嗷
1	百科	诫》	诫
1	传媒	”    “有	有
1	对话	蒽.	蒽
1	网文	高	高
1	百科	* 影	影
1	传媒	“谁	谁
1	对话	还	还
1	网文	阙	阙
1	百科	安	安
1	传媒	附：	附
1	对话	憋	憋
1	网文	功	功
1	百科	清	清
1	传媒	鸭	鸭
1	对话	呃	呃
1	网文	烤	烤
1	百科	凉	凉
1	传媒	“听	听
1	对话	开	开
1	网文	话	话
1	百科	宝	宝
1	传媒	于	于
1	对话	缘	缘
1	网文	阆	阆
1	百科	* 镁	镁
1	传媒	燃	燃
1	对话	打…	打
1	网文	(下)	下
1	百科	锁	锁
1	传媒	冲	冲
1	对话	猛	猛
1	网文	项	项
1	百科	* 『翔べ	翔
1	传媒	暖	暖
1	对话	出	出
1	网文	不	不
1	百科	令	令
1	传媒	呀	呀
1	对话	才	才
1	网文	句	句
1	百科	地	地
1	传媒	”　　“想	想
1	对话	噢	噢
1	网文	听	听
1	百科	* 申𦈡	申
1	传媒	看	看
1	对话	谢~	谢
1	网文	(笑)	笑
1	百科	* ゾロ目	目
1	传媒	”   “对	对
1	对话	啵~	啵
1	网文	产	产
1	百科	故	故
1	传媒	”　　“咔	咔
1	对话	分	分
1	网文	进	进
1	百科	曲	曲
1	传媒	潮	潮
1	对话	论	论
1	网文	┳橹	橹
1	百科	水	水
1	传媒	”    “战	战
1	对话	看	看
1	网文	“快	快
1	百科	𫓾全	全
1	传媒	难	难
1	对话	去	去
1	网文	器	器
1	百科	* 虺	虺
1	传媒	“搜	搜
1	对话	海	海
1	网文	变	变
1	百科	* ヌルハチ - うえだ峻	峻
1	传媒	嘭	嘭
1	对话	抵～	抵
1	网文	送	送
1	百科	* 钾	钾
1	传媒	驾	驾
1	对话	甜	甜
1	网文	夏	夏
1	百科	* 锅	锅
1	传媒	”    “快	快
1	对话	周	周
1	网文	村	村
1	百科	（猪）	猪
1	传媒	(完)	完
1	对话	赞~	赞
1	网文	ぴ硕	硕
1	百科	慎	慎
1	传媒	》等	等
1	对话	高	高
1	网文	重讀	重
1	百科	西	西
1	传媒	走	走
1	对话	捐	捐
1	网文	本	本
1	百科	珙	珙
1	传媒	不	不
1	对话	富	富
1	网文	剧	剧
1	百科	* マダラン界	界
1	传媒	”“行	行
1	对话	呸	呸
1	网文	せ肪�	肪
1	百科	* 雍𫄙	雍
1	传媒	“停	停
1	对话	球	球
1	网文	枚	枚
1	百科	（この指とまれ	指
1	传媒	”“叮	叮
1	对话	伞	伞
1	网文	漏	漏
1	百科	郡	郡
1	对话	懂	懂
1	网文	“略”	略
1	百科	* 糟:	糟
1	对话	咿	咿
1	网文	步”	步
1	百科	《毒	毒
1	对话	蒜	蒜
1	网文	当	当
1	百科	式	式
1	对话	忙	忙
1	网文	例：	例
1	百科	弟	弟
1	对话	狗	狗
1	网文	满”	满
1	百科	なに着る	着
1	对话	....噗	噗
1	网文	令	令
1	百科	隋	隋
1	对话	意	意
1	网文	”苏	苏
1	百科	* 盐	盐
1	对话	够	够
1	网文	“走	走
1	百科	种	种
1	对话	问	问
1	网文	哧	哧
1	百科	何を	何
1	对话	训	训
1	网文	铁	铁
1	百科	下	下
1	对话	年	年
1	网文	三	三
1	百科	泰	泰
1	对话	错	错
1	网文	嵘	嵘
1	百科	若	若
1	对话	歪	歪
1	网文	难	难
1	百科	* 油	油
1	对话	拼	拼
1	网文	圣	圣
1	百科	* 汤	汤
1	对话	哦	哦
1	网文	人	人
1	百科	* ぼうぼう君	君
1	对话	丢	丢
1	网文	嗳	嗳
1	百科	まだそんなに勃つの	勃
1	对话	大	大
1	网文	废	废
1	百科	* 燃える	燃
1	对话	也	也
1	网文	芯	芯
1	百科	竹	竹
1	对话	钱	钱
1	网文	【妮】	妮
1	百科	臬	臬
1	对话	后	后
1	网文	制	制
1	百科	* 月ようびはなにたべる	月
1	对话	成	成
1	网文	此	此
1	百科	汉	汉
1	对话	早～	早
1	网文	列	列
1	百科	夕	夕
1	对话	姐	姐
1	网文	（噗.........）	噗
1	百科	脊	脊
1	对话	酸	酸
1	网文	个	个
1	百科	* 愈らし	愈
1	对话	怕	怕
1	网文	冰	冰
1	百科	* 狗	狗
1	对话	睡	睡
1	网文	成	成
1	百科	* 岳	岳
1	对话	喝	喝
1	网文	一，	一
1	百科	春	春
1	对话	哈	哈
1	网文	透	透
1	百科	马	马
1	对话	亲	亲
1	网文	系	系
1	百科	晋	晋
1	对话	有	有
1	网文	符	符
1	百科	* 铁	铁
1	对话	正	正
1	网文	则	则
1	百科	* もっと远く	远
1	对话	饿	饿
1	网文	急	急
1	百科	* 及	及
1	对话	哪	哪
1	网文	蒲Фㄎ	蒲
1	百科	泮	泮
1	对话	堵	堵
1	网文	决	决
1	百科	杰	杰
1	对话	嫁	嫁
1	网文	猪	猪
1	百科	光	光
1	对话	嘴	嘴
1	网文	“余	余
1	百科	* 《试》	试
1	对话	酷	酷
1	网文	量	量
1	百科	飞	飞
1	对话	丁	丁
1	网文	室	室
1	百科	前	前
1	对话	奥	奥
1	网文	按	按
1	百科	如：	如
1	对话	爱	爱
1	网文	”号	号
1	百科	蕃	蕃
1	对话	着	着
2	百科	* 主席	主席
2	传媒	过年	过年
2	对话	醉了	醉了
2	网文	钦此	钦此
2	百科	庄长	庄长
2	传媒	（张锐）	张锐
2	对话	来不	来不
2	网文	（李雅）	李雅
2	百科	药用	药用
2	传媒	微评	微评
2	对话	打住	打住
2	网文	全身	全身
2	百科	人物	人物
2	传媒	（蓬轩）	蓬轩
2	对话	木哉	木哉
2	网文	法宝	法宝
2	百科	襄氏	襄氏
2	传媒	（高峰）	高峰
2	对话	好呀	好呀
2	网文	意识	意识
2	百科	缘起	缘起
2	传媒	最新	最新
2	对话	想吃	想吃
2	网文	”办理	办理
2	百科	种族	种族
2	传媒	（刘毅）	刘毅
2	对话	是阿	是阿
2	网文	事实 […]	事实
2	百科	参看	参看
2	传媒	——“善用”	善用
2	对话	嗯，美	嗯美
2	网文	护心	护心
2	百科	* 帆船	帆船
2	传媒	李欣	李欣
2	对话	（（花痴	花痴
2	网文	和平	和平
2	百科	墓园	墓园
2	传媒	（韩滢）	韩滢
